vars,mse_out,mse_val,gp_nll,mse,recon_term,pen_term,loss,vs,vs_2
[0.5 0.5],0.5488065481185913,0.5488064885139465,0.0007231209892779589,0.5445675014093473,133.0345658437419,-0.0018030982483814026,133.03348586648278,[0.50049996 0.49949998],0.49949998
[0.50049996 0.49949998],0.509467601776123,0.5094659924507141,0.00075190095230937,0.5056157975063698,123.2966383073051,-0.0018104894795563868,123.29557971877786,[0.5009872  0.49901283],0.49901283
[0.5009872  0.49901283],0.4648740291595459,0.46485596895217896,0.0007080260353783766,0.46166075052618366,112.3078760977492,-0.0017973543477033753,112.30678676943688,[0.50148064 0.4985193 ],0.4985193
[0.50148064 0.4985193 ],0.40408480167388916,0.4039091169834137,0.0005989298224449158,0.40198885395953415,97.389902298305,-0.001753278554348813,97.3887479495731,[0.5019562  0.49804375],0.49804375
[0.5019562  0.49804375],0.4410659372806549,0.4405636489391327,0.0003169352615562578,0.4366556150836806,106.05659170850973,-0.0016343591536367322,106.05527428461764,[0.50238836 0.49761164],0.49761164
[0.50238836 0.49761164],0.3421175181865692,0.34184908866882324,0.0005229561356827617,0.3406880732775968,82.0647066702147,-0.0017239597203227333,82.06350566663006,[0.50283873 0.4971613 ],0.4971613
[0.50283873 0.4971613 ],0.3392707109451294,0.33923977613449097,0.0005978586074585716,0.3379755597080046,81.38657862792464,-0.0017557211678702431,81.38542076536423,[0.50329185 0.49670818],0.49670818
[0.50329185 0.49670818],0.3328140079975128,0.3327917456626892,0.0006317641430844864,0.3312967688985546,79.71688069577299,-0.0017674458333538632,79.71574501408271,[0.50374115 0.49625888],0.49625888
[0.50374115 0.49625888],0.31407874822616577,0.31405651569366455,0.0006400972682361802,0.3128364919506654,75.10181219501357,-0.0017716307790165975,75.10068066150278,[0.5041858  0.49581417],0.49581417
[0.5041858  0.49581417],0.28650519251823425,0.286488801240921,0.0006418265014265975,0.28599860897478424,68.39234231595785,-0.001771760513118036,68.39121238194615,[0.50462645 0.4953736 ],0.4953736
[0.50462645 0.4953736 ],0.26161813735961914,0.2615836262702942,0.0006319234380498528,0.26257107916144573,62.5354622147569,-0.0017684713148559143,62.53432566688009,[0.5050655  0.49493444],0.49493444
[0.5050655  0.49493444],0.25534534454345703,0.2552832067012787,0.0006173468039681514,0.2585561323560382,61.53172455307368,-0.0017605753068454886,61.530581324570804,[0.505506 0.494494],0.494494
[0.505506 0.494494],0.2466878592967987,0.24662134051322937,0.0005744864465668797,0.2537597142922718,60.33262042545607,-0.0017444640494336018,60.33145044785321,[0.50595444 0.49404562],0.49404562
[0.50595444 0.49404562],0.21159635484218597,0.21175947785377502,0.00047900174589206773,0.21974401044993522,51.828695839661975,-0.0017112132331362179,51.82746362817473,[0.50642    0.49357998],0.49357998
[0.50642    0.49357998],0.191236674785614,0.19180426001548767,0.00032706966158002615,0.19468594583631668,45.56417995007109,-0.0016448005404026704,45.56286221919227,[0.5069063  0.49309373],0.49309373
[0.5069063  0.49309373],0.17905086278915405,0.17961479723453522,0.00015423676813952625,0.1809235050611683,42.123570218327856,-0.0015762482058052688,42.12214820689019,[0.50740886 0.4925911 ],0.4925911
[0.50740886 0.4925911 ],0.17259830236434937,0.17292752861976624,1.3633768200331057e-05,0.17384718246026032,40.35448950498279,-0.001515914877682092,40.352987223873306,[0.5079249  0.49207503],0.49207503
[0.5079249  0.49207503],0.165364071726799,0.1656404584646225,-0.00017612846568226814,0.16616827896733571,38.434764716100055,-0.0014296114548748014,38.4331589761795,[0.50845176 0.4915482 ],0.4915482
[0.50845176 0.4915482 ],0.14562669396400452,0.14600980281829834,-0.00044087530113756657,0.14674621234881963,33.57924771234932,-0.0012970575109324512,33.57750977953725,[0.5089866  0.49101338],0.49101338
[0.5089866  0.49101338],0.1319727897644043,0.1325189471244812,-0.0007693868440886339,0.13369471161417287,30.31637297100711,-0.001110555828503702,30.314493028334518,[0.5095279 0.4904721],0.4904721
[0.5095279 0.4904721],0.1240258738398552,0.12438079714775085,-0.0009981427962581317,0.12617685050234556,28.43690746350767,-0.0009664058619811589,28.43494291484943,[0.5100787 0.4899213],0.4899213
[0.5100787 0.4899213],0.12718752026557922,0.12730146944522858,-0.0011387499204526346,0.12943836155943686,29.252285047055775,-0.0008711869218757504,29.250275110213444,[0.51064134 0.48935863],0.48935863
[0.51064134 0.48935863],0.1073564663529396,0.1077536791563034,-0.001237115589901805,0.10956209620620742,24.283218936072018,-0.000799558337319415,24.281182262144796,[0.5112163  0.48878372],0.48878372
[0.5112163  0.48878372],0.10396300256252289,0.10453439503908157,-0.0012951830867677927,0.10568526513574045,23.314011551108447,-0.000760816346811595,23.311955551674867,[0.51180285 0.48819715],0.48819715
[0.51180285 0.48819715],0.09854308515787125,0.09899833053350449,-0.001274658211817344,0.09972109543130708,21.822969091468664,-0.0007882628617798594,21.82090617039507,[0.5123996 0.4876004],0.4876004
[0.5123996 0.4876004],0.09980741143226624,0.10014323890209198,-0.0012611282678941886,0.10075937320922253,22.08253845088608,-0.0008076750235140877,22.080469647594672,[0.51300484 0.48699516],0.48699516
[0.51300484 0.48699516],0.09438862651586533,0.09467323124408722,-0.0012890708943208058,0.09538363886471249,20.738604982488535,-0.0007889425404169506,20.7365269690538,[0.5136173 0.4863827],0.4863827
[0.5136173 0.4863827],0.09161105751991272,0.0919075459241867,-0.001349617416659991,0.09274054294781452,20.077830909326625,-0.0007446472578313135,20.07573664465213,[0.5142363  0.48576373],0.48576373
[0.5142363  0.48576373],0.09272293001413345,0.0929664671421051,-0.001367895087848107,0.0939301980934814,20.375244850703087,-0.0007344250882192752,20.37314253052702,[0.5148607 0.4851393],0.4851393
[0.5148607 0.4851393],0.0928480252623558,0.09295497834682465,-0.001326972929139932,0.0941207852087445,20.422891263754693,-0.0007749376125102081,20.420789353213042,[0.5154888  0.48451123],0.48451123
[0.5154888  0.48451123],0.09217817336320877,0.09213799983263016,-0.0012960251575956743,0.09350171373943263,20.268123685882163,-0.0008051582581277901,20.266022502466438,[0.5161192  0.48388085],0.48388085
[0.5161192  0.48388085],0.08952431380748749,0.08938624709844589,-0.0012985281646251678,0.09068720676043411,19.564496708014886,-0.000806509336069488,19.56239167051419,[0.51675117 0.48324886],0.48324886
[0.51675117 0.48324886],0.0894954577088356,0.08918367326259613,-0.0012862843771775563,0.09020957335321213,19.445088525592595,-0.0008192398265628252,19.442983001388857,[0.5173839  0.48261607],0.48261607
[0.5173839  0.48261607],0.09041865915060043,0.08966511487960815,-0.0012169362356265385,0.09063579784677342,19.551644768068932,-0.000874256578417574,19.54955357525489,[0.5180157 0.4819843],0.4819843
[0.5180157 0.4819843],0.08992325514554977,0.08855666220188141,-0.001107258101304372,0.08982415998117627,19.348735379334443,-0.0009519456666167113,19.34667617556652,[0.51864415 0.4813558 ],0.4813558
[0.51864415 0.4813558 ],0.08801305294036865,0.08548559248447418,-0.001000085302318136,0.08713330465610669,18.67602150886481,-0.0010178308253058048,18.674003592737186,[0.51926726 0.4807327 ],0.4807327
[0.51926726 0.4807327 ],0.08643361926078796,0.08151301741600037,-0.0007952466451873382,0.08380763866045851,17.844604918234353,-0.0011256484549796943,17.842684023134186,[0.5198808  0.48011926],0.48011926
[0.5198808  0.48011926],0.09181082993745804,0.09470504522323608,-7.471400507104893e-05,0.09882464644334432,21.598856629112266,-0.0014287082578566973,21.597353206849338,[0.520466 0.479534],0.479534
[0.520466 0.479534],0.1264166384935379,0.12115143239498138,-0.0010507679544389248,0.12250532581246505,27.519026494938437,-0.0009872884852686488,27.51698843849873,[0.5210519 0.4789481],0.4789481
[0.5210519 0.4789481],0.08899787068367004,0.08722644299268723,-0.0010884002161522706,0.08829619281664257,18.966743271994368,-0.0009786224242149548,18.964676249354003,[0.52163893 0.47836104],0.47836104
[0.52163893 0.47836104],0.10131280869245529,0.10051175951957703,-0.0010371946264058352,0.10205162496083525,22.405601193764344,-0.0010155561941578566,22.40354844294378,[0.52222556 0.47777444],0.47777444
[0.52222556 0.47777444],0.10302409529685974,0.10268834233283997,-0.0010053622536361217,0.10438069747423802,22.98786929425434,-0.001036256753031507,22.985827675247673,[0.5228108  0.47718918],0.47718918
[0.5228108  0.47718918],0.09728580713272095,0.09699011594057083,-0.0010089424128333728,0.09864140419826879,21.553046446428436,-0.0010373468174682899,21.551000157198132,[0.5233947  0.47660527],0.47660527
[0.5233947  0.47660527],0.09135700762271881,0.09111741930246353,-0.001022851016993324,0.0922712491981246,19.960507508270993,-0.0010297264154488076,19.95845493083855,[0.5239776  0.47602242],0.47602242
[0.5239776  0.47602242],0.08799850195646286,0.08779910206794739,-0.001035428373143077,0.08874764690231511,19.079607027639646,-0.0010241596644595958,19.077547439602043,[0.52455956 0.47544044],0.47544044
[0.52455956 0.47544044],0.08853849023580551,0.08833225816488266,-0.0010444808285683393,0.08917405600385066,19.186209156939757,-0.001019861504354638,19.184144814606835,[0.5251408  0.47485918],0.47485918
[0.5251408  0.47485918],0.08747480064630508,0.0872054398059845,-0.0010579259445269902,0.08819051637028219,18.940324075219547,-0.0010133979345104565,18.93825275134051,[0.5257215  0.47427845],0.47427845
[0.5257215  0.47427845],0.09134925901889801,0.0910741314291954,-0.0010724607078979413,0.09223758712056508,19.952092009961547,-0.001005664917100086,19.95001388433655,[0.5263019  0.47369808],0.47369808
[0.5263019  0.47369808],0.08638761192560196,0.08606375753879547,-0.001070840439448754,0.0873815073962049,18.738072171452863,-0.00100781966767427,18.73599351134574,[0.52688175 0.47311822],0.47311822
[0.52688175 0.47311822],0.08264834433794022,0.08223088085651398,-0.0010611433535814285,0.08365679489912882,17.806894043978645,-0.0010160121497541142,17.804816888475308,[0.5274607 0.4725393],0.4725393
[0.5274607 0.4725393],0.08523855358362198,0.08480079472064972,-0.0010582291676352422,0.08634052263050808,18.477826281195465,-0.0010179303569147113,18.475750121670913,[0.5280386  0.47196144],0.47196144
[0.5280386  0.47196144],0.08432237058877945,0.08376086503267288,-0.0010714235249906778,0.08545161076390877,18.2555979873673,-0.0010129531591190673,18.25351361068319,[0.52861565 0.47138435],0.47138435
[0.52861565 0.47138435],0.08396962285041809,0.0832613930106163,-0.0010830480605363846,0.08502542294538748,18.14905103902413,-0.0010062264954630814,18.14696176446813,[0.5291921  0.47080794],0.47080794
[0.5291921  0.47080794],0.08311686664819717,0.08223538100719452,-0.0010987056108812492,0.08401445297075526,17.896308646453573,-0.0009977522964908084,17.8942121885462,[0.52976817 0.47023183],0.47023183
[0.52976817 0.47023183],0.08211183547973633,0.08093304187059402,-0.0011284305558850367,0.08271087516549949,17.57041423052026,-0.000979195103808205,17.568306604860567,[0.5303445 0.4696555],0.4696555
[0.5303445 0.4696555],0.08069156855344772,0.07894300669431686,-0.0011785267852246761,0.08061826333881285,17.047261132572654,-0.0009481229360919396,17.04513448285134,[0.5309221 0.4690779],0.4690779
[0.5309221 0.4690779],0.08290139585733414,0.08034420013427734,-0.0012057571051021416,0.0820566381885446,17.406854781394415,-0.0009275299078961132,17.40472149438142,[0.53150135 0.46849862],0.46849862
[0.53150135 0.46849862],0.0813102200627327,0.07784602046012878,-0.001151841211443146,0.07971431322650063,16.821273961506073,-0.0009566426663365769,16.819165477628292,[0.5320805  0.46791953],0.46791953
[0.5320805  0.46791953],0.07903796434402466,0.0742507129907608,-0.001001817872747779,0.07681690253540797,16.096920940474124,-0.0010354810894198229,16.094883641511956,[0.5326555 0.4673445],0.4673445
[0.5326555 0.4673445],0.07696263492107391,0.0717235654592514,-0.0007659144078691801,0.07608448657772535,15.913816828762238,-0.0011351051804876378,15.91191580917388,[0.53322077 0.46677926],0.46677926
[0.53322077 0.46677926],0.0815637856721878,0.07532943785190582,-0.0009221865329891443,0.07911765094626899,16.67210804762737,-0.0010474915495826144,16.670138369544798,[0.5337816  0.46621847],0.46621847
[0.5337816  0.46621847],0.07447100430727005,0.07257223129272461,-0.0007991661162426075,0.07651821361332668,16.022248529475625,-0.0010979509572455162,16.02035141240214,[0.5343353  0.46566468],0.46566468
[0.5343353  0.46566468],0.075667604804039,0.07203412055969238,-0.0012474991381168365,0.07403711563182346,15.401974059679885,-0.0008669217442660259,15.399859638797503,[0.53489417 0.46510583],0.46510583
[0.53489417 0.46510583],0.07793650776147842,0.07483406364917755,-0.0014546479408939679,0.07639570566589605,15.991621694002676,-0.0007304240619106896,15.989436621999872,[0.53546244 0.46453756],0.46453756
[0.53546244 0.46453756],0.0766061320900917,0.07404432445764542,-0.0015065446496009827,0.07556517892194509,15.783989938856276,-0.0006926044014657171,15.781790789805209,[0.5360399 0.4639601],0.4639601
[0.5360399 0.4639601],0.07440152019262314,0.07194547355175018,-0.0014943787828087807,0.07388938182142427,15.36504063413949,-0.0007020106703821173,15.362844244686299,[0.5366249 0.4633751],0.4633751
[0.5366249 0.4633751],0.0725354477763176,0.0698804035782814,-0.0014380527039368947,0.07232994309625557,14.975181303448364,-0.0007376660329926347,14.973005584711434,[0.537215   0.46278498],0.46278498
[0.537215   0.46278498],0.0706653743982315,0.06860289722681046,-0.0012976042150209348,0.07157980699203872,14.787646935669065,-0.0008209562208407174,14.785528375233204,[0.537806   0.46219403],0.46219403
[0.537806   0.46219403],0.06964757293462753,0.0690254494547844,-0.0011988590316226084,0.07230696060541622,14.969435604059953,-0.0008643367727438321,14.967372408255587,[0.53839517 0.46160483],0.46160483
[0.53839517 0.46160483],0.06986350566148758,0.06762020289897919,-0.001375108336408933,0.07055128218592631,14.530515952835161,-0.0007526335164889187,14.528388210982262,[0.5389869  0.46101305],0.46101305
[0.5389869  0.46101305],0.07009349018335342,0.06807375699281693,-0.0014502218303581078,0.0703190387589732,14.47245528212255,-0.0007037125747446683,14.470301347717445,[0.5395826 0.4604174],0.4604174
[0.5395826 0.4604174],0.07073529064655304,0.06837330758571625,-0.001538646873086691,0.07052741875446324,14.524549876768312,-0.0006358928452587794,14.522375337049967,[0.5401835 0.4598165],0.4598165
[0.5401835 0.4598165],0.06987115740776062,0.06745843589305878,-0.0015368095288674037,0.06981723341848145,14.347003727689032,-0.0006332559638195347,14.344833662196345,[0.54078877 0.45921123],0.45921123
[0.54078877 0.45921123],0.06814274191856384,0.06670057773590088,-0.001411966048181057,0.06904255644242051,14.153334608738769,-0.0007219958748001962,14.151200646815788,[0.5413946 0.4586054],0.4586054
[0.5413946 0.4586054],0.06741061806678772,0.06558636575937271,-0.001452326774597168,0.06828750606776515,13.964571766424328,-0.0006962424435969656,13.962423197206133,[0.5420016  0.45799837],0.45799837
[0.5420016  0.45799837],0.06740986555814743,0.06526175886392593,-0.0015198977974553902,0.06797694361690652,13.886931134355104,-0.0006538722635224661,13.884757364294126,[0.54261106 0.45738894],0.45738894
[0.54261106 0.45738894],0.06821373850107193,0.06617128103971481,-0.0015694697697957356,0.06844623585644775,14.004254267159025,-0.0006245517050568107,14.002060245684172,[0.54322356 0.4567764 ],0.4567764
[0.54322356 0.4567764 ],0.06769806146621704,0.06524202227592468,-0.0016751191578805447,0.0675171055554604,13.771971819935812,-0.0005346649801194853,13.769762035797813,[0.54384094 0.45615906],0.45615906
[0.54384094 0.45615906],0.0669214129447937,0.06453202664852142,-0.0016918787732720375,0.06663181801493193,13.550649877664595,-0.0005186673816227987,13.5484393315097,[0.5444628  0.45553723],0.45553723
[0.5444628  0.45553723],0.06675106287002563,0.06436065584421158,-0.0016805422492325306,0.06640593838543779,13.49418001066443,-0.0005246221112913712,13.491974846303906,[0.54508793 0.45491204],0.45491204
[0.54508793 0.45491204],0.06651251018047333,0.06384850293397903,-0.0016771295728782813,0.06625782075071285,13.457150487889919,-0.0005140962520269475,13.454959262065014,[0.5457158 0.4542842],0.4542842
[0.5457158 0.4542842],0.06677272915840149,0.06441481411457062,-0.0015992686773339908,0.06664171589937182,13.553124349884067,-0.0005713391407646216,13.55095374206597,[0.5463439  0.45365614],0.45365614
[0.5463439  0.45365614],0.06574922800064087,0.06299863755702972,-0.0016645160503685474,0.06537434572764243,13.236281709562535,-0.0005151229147773309,13.23410207059739,[0.54697347 0.45302656],0.45302656
[0.54697347 0.45302656],0.06475348770618439,0.06190674006938934,-0.0017030659752587478,0.06417453227393258,12.93632833960137,-0.0004894306884179008,12.934135842937694,[0.547605   0.45239505],0.45239505
[0.547605   0.45239505],0.06499531120061874,0.06202123686671257,-0.0017512277700006962,0.06413180874939911,12.925647565965939,-0.00045191627689237563,12.923444421919045,[0.54823893 0.45176107],0.45176107
[0.54823893 0.45176107],0.06533828377723694,0.0620553120970726,-0.0017962401422361534,0.06431349233609567,12.971068546961854,-0.0004061655740464547,12.968866141245572,[0.54887587 0.4511241 ],0.4511241
[0.54887587 0.4511241 ],0.06544377654790878,0.06223950907588005,-0.0017838723336656888,0.06434986509975998,12.98016145976401,-0.00042476692894760675,12.977952820501397,[0.5495148 0.4504852],0.4504852
[0.5495148 0.4504852],0.06510604918003082,0.06129109486937523,-0.0018082275055348873,0.06366389194713384,12.808668316088642,-0.00039101301258065825,12.806469075570527,[0.55015576 0.4498442 ],0.4498442
[0.55015576 0.4498442 ],0.06464218348264694,0.06082911044359207,-0.001785977277904749,0.06294124011786303,12.628005563288218,-0.0004107306678630141,12.62580885534245,[0.5507978 0.4492022],0.4492022
[0.5507978 0.4492022],0.06384962052106857,0.05951246991753578,-0.0018111759175856907,0.06168171365850344,12.313123732589515,-0.00036653974806194527,12.310946016923866,[0.551441 0.448559],0.448559
[0.551441 0.448559],0.0635104849934578,0.059010762721300125,-0.001818414932737748,0.06096844077726677,12.134805578726892,-0.00034876301549490623,12.13263840077866,[0.5520853  0.44791475],0.44791475
[0.5520853  0.44791475],0.06324378401041031,0.05839003622531891,-0.001826755702495575,0.06037746926128187,11.987062677109254,-0.00033336542614166456,11.984902555980616,[0.5527303  0.44726965],0.44726965
[0.5527303  0.44726965],0.06308266520500183,0.057616058737039566,-0.0018417627240220706,0.05971297791233476,11.820939704082374,-0.00031028962992671045,11.818787651728426,[0.55337626 0.44662374],0.44662374
[0.55337626 0.44662374],0.0629243478178978,0.05750193074345589,-0.0018396504844228427,0.05956701926632774,11.784450069455103,-0.00031674313917563475,11.782293675831506,[0.5540226  0.44597736],0.44597736
[0.5540226  0.44597736],0.06317631155252457,0.057055674493312836,-0.001873937901109457,0.05931587013364946,11.721662866539152,-0.0002605643596754418,11.719528364278366,[0.55467 0.44533],0.44533
[0.55467 0.44533],0.06351350992918015,0.057879991829395294,-0.0018719274861117203,0.05981240018570436,11.845795324694404,-0.000269940806766577,11.843653456401524,[0.555318 0.444682],0.444682
[0.555318 0.444682],0.06377770751714706,0.0573430061340332,-0.0018900355013708274,0.05943107198164898,11.750463286501422,-0.00020887006715618103,11.748364380932895,[0.55596685 0.44403312],0.44403312
[0.55596685 0.44403312],0.06342965364456177,0.05778100714087486,-0.0018666813460489113,0.059702923958649165,11.81842632747362,-0.00024905698633952123,11.816310589141231,[0.5566157 0.4433843],0.4433843
[0.5566157 0.4433843],0.06045161187648773,0.054339852184057236,-0.001867071259766817,0.05637495957831193,10.986435260003452,-0.00020460248708093184,10.984363586256604,[0.5572644  0.44273564],0.44273564
[0.5572644  0.44273564],0.058116476982831955,0.052388060837984085,-0.0018629411545892556,0.054213695251214354,10.446119069806548,-0.00020257663800387872,10.444053552013953,[0.5579126 0.4420874],0.4420874
[0.5579126 0.4420874],0.05877036228775978,0.05319340527057648,-0.0018681359166900318,0.05489290740645289,10.615922156632747,-0.00018492364065794827,10.6138690970754,[0.55856025 0.44143972],0.44143972
[0.55856025 0.44143972],0.05951942503452301,0.053511206060647964,-0.001873169094324112,0.05531560715129975,10.721597231654869,-0.0001472261905980286,10.719576836369946,[0.5592074  0.44079262],0.44079262
[0.5592074  0.44079262],0.05788255110383034,0.05221220850944519,-0.0018802882793049018,0.05395080881133568,10.380397453426454,-0.0001630068277735976,10.378354158319375,[0.55985373 0.4401462 ],0.4401462
[0.55985373 0.4401462 ],0.056378111243247986,0.05037619546055794,-0.0018925624899566174,0.05217458827049312,9.936342296580616,-0.0001407867580321892,9.934308947332626,[0.5604995 0.4395005],0.4395005
[0.5604995 0.4395005],0.057208091020584106,0.05077176168560982,-0.0019033998250961304,0.052606343791551394,10.044281439795983,-0.0001123374817515372,10.042265702489136,[0.5611446  0.43885538],0.43885538
[0.5611446  0.43885538],0.05653197690844536,0.05045787990093231,-0.0019124022995432217,0.05213820237778088,9.927245967513898,-0.00012046994986696384,9.925213095264487,[0.5617891  0.43821093],0.43821093
[0.5617891  0.43821093],0.055076953023672104,0.04866544529795647,-0.0019113075298567612,0.05044886220204176,9.50491085269459,-0.00010826504325076187,9.502891280121482,[0.56243265 0.43756732],0.43756732
[0.56243265 0.43756732],0.055213890969753265,0.04862044379115105,-0.0019056512974202633,0.05051740963925005,9.522047798290865,-9.56048548506667e-05,9.520046542138594,[0.56307524 0.4369248 ],0.4369248
[0.56307524 0.4369248 ],0.05491044372320175,0.04861459136009216,-0.0019020958182712395,0.050338128421767665,9.477227543354529,-0.00010403508831859558,9.475221412447938,[0.56371653 0.43628347],0.43628347
[0.56371653 0.43628347],0.05391112342476845,0.04703914001584053,-0.0018915737358232339,0.0488449334790073,9.10392879576816,-9.149796861072668e-05,9.101945724063725,[0.5643562  0.43564376],0.43564376
[0.5643562  0.43564376],0.05357534438371658,0.04647020995616913,-0.0018837335519492626,0.04828929213851291,8.96501848443711,-8.055470172833987e-05,8.963054196183432,[0.5649943  0.43500575],0.43500575
[0.5649943  0.43500575],0.053396064788103104,0.04663292318582535,-0.0018830976138512294,0.04829706826402335,8.96696246520933,-8.512337065100547e-05,8.964994244224828,[0.56563044 0.43436953],0.43436953
[0.56563044 0.43436953],0.052352894097566605,0.044910576194524765,-0.0018685941273967426,0.046686672467850104,8.56436352498036,-7.335453861486454e-05,8.56242157631435,[0.56626457 0.4337354 ],0.4337354
[0.56626457 0.4337354 ],0.051802728325128555,0.04407968744635582,-0.0018569679620365302,0.04578923648984134,8.34000451956811,-6.490565293238354e-05,8.338082645953142,[0.5668965  0.43310353],0.43310353
[0.5668965  0.43310353],0.051900703459978104,0.044397447258234024,-0.0018482943996787071,0.045961569636412986,8.383087816997792,-6.330310483342719e-05,8.38117621949328,[0.56752604 0.43247393],0.43247393
[0.56752604 0.43247393],0.05159050226211548,0.04377078264951706,-0.0018195382629831631,0.04540099479419862,8.242944174986466,-5.391809555789553e-05,8.241070718627924,[0.5681529  0.43184707],0.43184707
[0.5681529  0.43184707],0.0504828542470932,0.042817775160074234,-0.0018085531579951446,0.044321808967866486,7.973147624034546,-5.453477731367503e-05,7.971284536099237,[0.56877697 0.43122303],0.43122303
[0.56877697 0.43122303],0.050174906849861145,0.04240354523062706,-0.0017795865423977375,0.0438468505271095,7.854407936735261,-4.614039097653535e-05,7.852582209801887,[0.5693979  0.43060204],0.43060204
[0.5693979  0.43060204],0.0498150959610939,0.042078979313373566,-0.0017706118524074554,0.043567247604017034,7.784507167622863,-4.9668507789663236e-05,7.782686887262666,[0.57001585 0.42998415],0.42998415
[0.57001585 0.42998415],0.04919319227337837,0.041601698845624924,-0.0017588594928383827,0.04294182330893878,7.628151137185319,-4.4677594385033745e-05,7.626347600098096,[0.57063085 0.42936918],0.42936918
[0.57063085 0.42936918],0.04866422340273857,0.04074016958475113,-0.0017567076720297337,0.04217823005388293,7.437252959889487,-4.585214754260284e-05,7.435450400069914,[0.57124305 0.428757  ],0.428757
[0.57124305 0.428757  ],0.047851141542196274,0.04014795273542404,-0.0017568143084645271,0.041518030732469444,7.272203052919184,-4.383356999890009e-05,7.270402405040721,[0.5718526  0.42814735],0.42814735
[0.5718526  0.42814735],0.047552913427352905,0.03995184972882271,-0.0017684162594377995,0.041255393929417405,7.206543935245172,-4.576428235612518e-05,7.204729754703378,[0.5724601  0.42753994],0.42753994
[0.5724601  0.42753994],0.04823378473520279,0.04014521837234497,-0.001756080271055301,0.04158801740303158,7.289699763521908,-3.9135315127438654e-05,7.287904547935725,[0.5730652  0.42693478],0.42693478
[0.5730652  0.42693478],0.049284111708402634,0.04214378818869591,-0.0017882885100940864,0.043318109280567514,7.722222648707393,-4.806670269614901e-05,7.720386293494602,[0.57366884 0.4263312 ],0.4263312
[0.57366884 0.4263312 ],0.05368202552199364,0.0453789047896862,-0.0017456783292194207,0.04701659058710906,8.64684301966102,-3.24018289105853e-05,8.64506493950289,[0.57427025 0.42572972],0.42572972
[0.57427025 0.42572972],0.0629555881023407,0.056466810405254364,-0.0018170556674400966,0.05753291399057306,11.275923775295192,-5.953379449479845e-05,11.274047185833258,[0.5748708  0.42512923],0.42512923
[0.5748708  0.42512923],0.05000307410955429,0.04208449274301529,-0.001770039089024067,0.04358180796471351,7.788147453931395,-3.935534955120828e-05,7.78633805949282,[0.5754696 0.4245304],0.4245304
[0.5754696 0.4245304],0.05054127052426338,0.04302080720663071,-0.0017704511992633343,0.044320590770971946,7.972843020260642,-3.519029056291252e-05,7.9710373787708155,[0.576067   0.42393306],0.42393306
[0.576067   0.42393306],0.05070839077234268,0.04422731325030327,-0.0018221888070305188,0.0452697725490799,8.21013845702115,-6.0982219903752e-05,8.208255285994216,[0.57666355 0.4233365 ],0.4233365
[0.57666355 0.4233365 ],0.05052708834409714,0.04331757873296738,-0.001816914261629184,0.04454514547612329,8.028981789684593,-5.841849462924699e-05,8.027106456928335,[0.57725924 0.4227408 ],0.4227408
[0.57725924 0.4227408 ],0.0488140843808651,0.04148472473025322,-0.0018081835781534512,0.04275162932544855,7.580602746468422,-3.947894099879252e-05,7.57875508394927,[0.57785404 0.4221459 ],0.4221459
[0.57785404 0.4221459 ],0.04861459508538246,0.04186282679438591,-0.001826725744952758,0.04301413557768608,7.646229318896888,-4.525841943916768e-05,7.644357334732497,[0.57844824 0.4215517 ],0.4215517
[0.57844824 0.4215517 ],0.047242261469364166,0.04036104679107666,-0.001843149463335673,0.04154490555454557,7.278921866984009,-6.482181277255131e-05,7.2770138957079,[0.579042 0.420958],0.420958
[0.579042 0.420958],0.0474032461643219,0.04066723957657814,-0.0018557563113669555,0.04180449401457036,7.343818865739571,-6.968570129022258e-05,7.341893423726914,[0.5796353  0.42036465],0.42036465
[0.5796353  0.42036465],0.04627110809087753,0.03968753293156624,-0.0018610451370477676,0.04075338928011604,7.081042718739394,-5.712763705741588e-05,7.079124545965289,[0.5802284  0.41977155],0.41977155
[0.5802284  0.41977155],0.04678010568022728,0.039761919528245926,-0.0018524799185494583,0.041032389284043194,7.150792781668093,-4.85797268709297e-05,7.148891722022673,[0.58082104 0.4191789 ],0.4191789
[0.58082104 0.4191789 ],0.04547563195228577,0.03864297643303871,-0.0018579896229008834,0.0398906998205333,6.865370390457104,-5.809210895511562e-05,6.863454308725248,[0.58141327 0.41858673],0.41858673
[0.58141327 0.41858673],0.04507691040635109,0.038854990154504776,-0.0018697155949970086,0.03992438143756792,6.873790796195093,-7.021670103807005e-05,6.871850863899057,[0.5820051  0.41799495],0.41799495
[0.5820051  0.41799495],0.044938549399375916,0.038450878113508224,-0.0018676772403220336,0.039516405457671204,6.771796781743078,-6.369741773425442e-05,6.769865407085022,[0.5825964 0.4174036],0.4174036
[0.5825964 0.4174036],0.044992949813604355,0.03780991584062576,-0.0018557788183291752,0.0389746036130122,6.636346254871452,-4.867875167590518e-05,6.634441797301447,[0.58318716 0.41681284],0.41681284
[0.58318716 0.41681284],0.044317688792943954,0.037529442459344864,-0.0018571349792182446,0.03864835404560757,6.554783912824374,-4.464506895838532e-05,6.5528821327761975,[0.58377725 0.41622272],0.41622272
[0.58377725 0.41622272],0.04370976984500885,0.0372273288667202,-0.0018631794179479282,0.0383054157324143,6.469049333416563,-4.8754460490361684e-05,6.4671373995381245,[0.58436674 0.41563323],0.41563323
